nr,gemeente,provincie,Oppervlakte,Postcode,Huisnr,Type
501,Apeldoorn,Gelderland,85,7371CM,74,Bedrijfspand
502,Apeldoorn,Gelderland,154,7314NV,48,Bedrijfspand
503,Apeldoorn,Gelderland,256,7314JE,61,Bedrijfspand
504,Apeldoorn,Gelderland,760,7336BB,55,Bedrijfspand
505,Apeldoorn,Gelderland,1790,7324AH,30,Bedrijfspand
506,Assen,Drenthe,70,9403TS,25,Bedrijfspand
507,Assen,Drenthe,210,9403TS,27,Bedrijfspand
508,Assen,Drenthe,386,9405PR,8,Bedrijfspand
509,Assen,Drenthe,850,9403AD,69,Bedrijfspand
510,Assen,Drenthe,2000,9402NR,1,Bedrijfspand
511,Breda,Noord-Brabant,59,4818RE,146,Bedrijfspand
512,Breda,Noord-Brabant,131,4817ZN,7166,Bedrijfspand
513,Breda,Noord-Brabant,156,4854CL,1,Bedrijfspand
514,Breda,Noord-Brabant,540,4822NJ,7,Bedrijfspand
515,Breda,Noord-Brabant,1700,4834GH,50,Bedrijfspand
516,Groningen,Groningen,60,9713BV,11,Bedrijfspand
517,Groningen,Groningen,120,9713KZ,18,Bedrijfspand
518,Groningen,Groningen,310,9743AD,219,Bedrijfspand
519,Groningen,Groningen,803,9738AJ,10,Bedrijfspand
520,Groningen,Groningen,1891,9723AZ,76,Bedrijfspand
521,Haarlem,Noord-Holland,86,2011CK,60,Bedrijfspand
522,Haarlem,Noord-Holland,200,2012EA,19,Bedrijfspand
523,Haarlem,Noord-Holland,301,2012JE,7,Bedrijfspand
524,Haarlem,Noord-Holland,643,2012ES,30,Bedrijfspand
525,Haarlem,Noord-Holland,1568,2031AA,6,Bedrijfspand
526,Heerenveen,Friesland,90,8442DJ,77,Bedrijfspand
527,Heerenveen,Friesland,180,8448GK,58,Bedrijfspand
528,Heerenveen,Friesland,284,8441BE,124,Bedrijfspand
529,Heerenveen,Friesland,600,8442CT,12,Bedrijfspand
530,Heerenveen,Friesland,2050,8448EB,131,Bedrijfspand
531,Lelystad,Flevoland,45,8243PM,44,Bedrijfspand
532,Lelystad,Flevoland,145,8226LD,175,Bedrijfspand
533,Lelystad,Flevoland,360,8223EE,13,Bedrijfspand
534,Lelystad,Flevoland,640,8226LP,36,Bedrijfspand
535,Lelystad,Flevoland,1970,8211AB,4,Bedrijfspand
536,Middelburg,Zeeland,54,4341ES,4,Bedrijfspand
537,Middelburg,Zeeland,164,4331JC,1,Bedrijfspand
538,Middelburg,Zeeland,350,4335JA,14,Bedrijfspand
539,Middelburg,Zeeland,716,4331NJ,10,Bedrijfspand
540,Middelburg,Zeeland,1897,4337JB,89,Bedrijfspand
541,Nieuwegein,Utrecht,80,3433EL,1,Bedrijfspand
542,Nieuwegein,Utrecht,170,3433NP,1,Bedrijfspand
543,Nieuwegein,Utrecht,336,3432EW,28,Bedrijfspand
544,Nieuwegein,Utrecht,682,3439ME,20,Bedrijfspand
545,Nieuwegein,Utrecht,2180,3439NC,2,Bedrijfspand
546,Sittard-Geleen,Limburg,61,6134AA,117,Bedrijfspand
547,Sittard-Geleen,Limburg,195,6161DE,63,Bedrijfspand
548,Sittard-Geleen,Limburg,310,6161EJ,31,Bedrijfspand
549,Sittard-Geleen,Limburg,580,6121HV,1,Bedrijfspand
550,Sittard-Geleen,Limburg,1699,6136KT,129,Bedrijfspand
551,Zoetermeer,Zuid-Holland,80,2723RS,15,Bedrijfspand
552,Zoetermeer,Zuid-Holland,192,2729NK,436,Bedrijfspand
553,Zoetermeer,Zuid-Holland,328,2718RR,46,Bedrijfspand
554,Zoetermeer,Zuid-Holland,916,2712PB,37,Bedrijfspand
555,Zoetermeer,Zuid-Holland,2019,2723RS,3,Bedrijfspand
556,Zwolle,Overijssel,90,8013RT,60,Bedrijfspand
557,Zwolle,Overijssel,135,8013RK,50,Bedrijfspand
558,Zwolle,Overijssel,271,8013RM,34,Bedrijfspand
559,Zwolle,Overijssel,620,8013NL,11,Bedrijfspand
560,Zwolle,Overijssel,1607,8013NG,4,Bedrijfspand
